,atlas_id
898,252
899,819
900,821
901,822
902,332
903,439
904,437
905,438
906,264
907,34
908,109
909,176
911,253
912,823
913,277
914,917
915,322
916,340
917,349
918,354
919,360
924,280
925,84
926,441
927,440
928,159
929,161
930,216
931,442
932,312
933,326
934,327
935,185
936,189
937,25
938,75
939,862
940,918
941,860
942,861
943,89
944,88
945,129
946,112
947,221
948,222
949,223
950,224
951,225
952,226
953,227
954,336
955,337
956,338
957,858
958,855
959,856
960,854
961,857
963,381
964,187
965,364
966,919
967,365
968,920
969,928
970,16
971,824
972,17
973,104
974,110
975,130
976,470
977,151
978,865
979,154
980,166
981,170
982,826
983,827
984,179
985,190
986,844
987,845
988,247
989,248
990,258
991,828
992,829
993,443
994,444
995,446
996,445
997,265
998,274
999,447
1000,448
1001,370
1002,450
1003,449
1004,452
1005,451
1006,378
1007,379
1008,380
1009,150
1010,188
1011,308
1012,311
1013,310
1014,63
1015,65
1016,1142
1017,1143
1018,1141
1019,363
1020,396
1024,397
1025,404
1029,405
1033,398
1034,406
1038,407
1042,843
1046,399
1050,400
1054,401
1058,402
1062,403
1066,133
1067,408
1071,409
1072,414
1076,415
1080,410
1084,411
1088,412
1092,413
1096,64
1097,123
1098,152
1099,105
1101,691
1102,686
1103,676
1104,684
1105,670
1106,692
1107,568
1108,507
1109,491
1110,481
1111,536
1112,671
1113,533
1114,538
1115,607
1116,580
1117,581
1118,610
1119,669
1120,573
1121,585
1122,679
1123,613
1124,654
1125,678
1126,577
1127,594
1128,512
1129,523
1130,665
1131,565
1132,563
1133,682
1134,558
1135,617
1136,542
1137,529
1138,504
1139,487
1140,506
1141,503
1142,484
1143,666
1144,680
1145,595
1146,655
1147,667
1148,681
1149,664
1150,540
1151,495
1152,489
1153,531
1154,497
1155,488
1156,471
1157,472
1158,473
1159,511
1160,674
1161,569
1162,614
1163,596
1164,598
1165,599
1166,602
1167,600
1168,597
1169,601
1170,502
1171,685
1172,658
1173,659
1174,606
1175,525
1176,859
1177,530
1178,532
1179,575
1180,564
1181,493
1182,486
1183,505
1184,485
1185,474
1186,475
1187,612
1188,656
1190,688
1191,662
1192,543
1193,496
1194,544
1195,562
1196,545
1197,546
1199,547
1200,663
1201,566
1202,539
1203,553
1204,550
1205,549
1206,548
1207,589
1208,590
1209,551
1210,552
1211,677
1212,560
1213,567
1214,576
1215,611
1218,690
1219,660
1220,583
1221,578
1222,579
1223,582
1224,604
1225,605
1226,675
1227,555
1228,556
1229,554
1230,673
1231,615
1232,593
1233,657
1234,672
1235,591
1236,592
1237,683
1238,689
1239,661
1240,534
1241,535
1242,537
1243,541
1244,561
1245,482
1246,490
1247,499
1248,517
1249,476
1250,516
1251,477
1252,478
1253,501
1254,479
1255,480
1256,513
1257,483
1258,570
1259,603
1261,668
1262,572
1263,616
1264,587
1265,609
1266,526
1267,527
1268,528
1269,586
1270,608
1271,588
1272,519
1273,520
1274,521
1275,522
1276,584
1277,571
1278,518
1279,510
1280,509
1281,508
1282,557
1283,514
1284,559
1285,524
1286,498
1287,500
1288,515
1289,574
1290,492
1291,494
1292,716
1293,717
1294,718
1295,719
1296,720
1297,721
1298,722
1299,723
1300,724
1301,725
1302,726
1303,727
1304,693
1305,694
1306,697
1307,698
1308,699
1309,700
1310,695
1311,701
1312,702
1313,703
1314,704
1315,705
1316,707
1317,708
1318,709
1319,710
1320,711
1321,712
1322,713
1323,714
1324,715
1325,926
